0-Time 1-Source 2-bdp_pkts 3-arr_Mbps  4-aggreg_ar_Mbps  5-AverageRttValue 6-pktsize 7-mupsi 8-aggreg_mupsi 9-occ_bdp_per_source 10-mupsi_mm1_per_source 11-aggreg_occ_bdp 12-aggreg_mupsi_mm1 13-measured_btlBW_Mbps
0.200179 S1 2.976757 0.057920 0.637120 0.200000 1448 0.998764 0.998764 0.335936 1.784725 3.695296 22.045805 0.172414
0.401462 S0 0.994314 0.521280 2.838080 0.200000 1448 1.000000 1.000000 9.051468 101.032006 49.280214 2528.099905 0.057591
0.602750 S0 2.788667 0.700844 3.935508 0.214872 1448 0.999999 0.999999 4.661725 32.055128 26.177378 738.609878 0.161520
0.804037 S0 3.379038 1.023629 5.629960 0.226332 1448 1.081046 1.081046 5.918844 47.870408 32.553644 1125.847039 0.195714
1.006526 S0 5.411425 1.563108 8.319769 0.229737 1448 1.154327 1.154327 5.728621 45.274338 30.491046 991.685997 0.313430
1.207813 S0 51.087604 2.268898 11.972059 0.239961 1448 1.192377 1.192377 0.919988 3.686355 4.854407 34.274076 2.958994
1.409682 S3 166.444740 2.688317 15.127479 0.254232 1448 1.216781 1.216781 0.354472 1.834594 1.994656 8.967965 9.640479
1.610349 S1 166.444740 3.178304 16.566909 0.291577 1448 1.148215 1.148215 0.480640 2.192295 2.505336 12.287380 9.640479
1.811036 S4 9.249672 2.498954 13.030261 0.324488 1448 0.910393 0.910393 7.567836 73.407810 39.460858 1637.081038 0.535741
2.011703 S1 2.280065 1.805098 7.184999 0.327286 1448 0.916775 0.916775 22.367784 546.053329 89.032552 8105.860420 0.132061
2.212370 S1 499.334221 1.875886 7.857486 0.327286 1448 1.147596 1.147596 0.106141 1.223549 0.444592 2.086846 28.921438
2.414219 S0 166.444740 2.102575 8.935944 0.286491 1448 1.365711 1.365711 0.312416 1.722436 1.327768 5.418504 9.640479
2.614887 S3 166.444740 1.518270 9.586790 0.267041 1448 1.542947 1.542947 0.210280 1.464778 1.327768 5.418504 9.640479
2.816755 S2 166.444740 1.625339 9.452632 0.270831 1448 1.895612 1.895612 0.228304 1.508731 1.327768 5.418504 9.640479
3.019826 S1 110.963160 2.281182 9.684263 0.269138 1448 6.631760 6.631760 0.477636 2.183408 2.027700 9.166967 6.426986
3.221695 S0 166.444740 2.330448 9.796512 0.268419 1448 1.271380 1.271380 0.324432 1.754120 1.363816 5.587626 9.640479
3.422362 S3 166.444740 1.555429 9.584806 0.275556 1448 2.060406 2.060406 0.222296 1.494008 1.369824 5.616066 9.640479
3.624231 S2 166.444740 1.747229 9.692961 0.278457 1448 4.255614 4.255614 0.252336 1.568345 1.399864 5.759347 9.640479
3.826099 S1 166.444740 2.273429 9.725226 0.275151 1448 1.421968 1.421968 0.324432 1.754120 1.387848 5.701818 9.640479
4.026767 S0 166.444740 2.287687 9.733068 0.278500 1448 1.429237 1.429237 0.330440 1.770071 1.405872 5.788220 9.640479
4.228635 S4 166.444740 1.612045 9.754941 0.280250 1448 1.187771 1.187771 0.234312 1.523526 1.417888 5.846182 9.640479
4.430504 S2 166.444740 1.683312 9.689309 0.282148 1448 1.129735 1.129735 0.246328 1.553333 1.417888 5.846182 9.640479
4.632373 S0 166.444740 2.272965 9.700690 0.285400 1448 1.197512 1.197512 0.336448 1.786093 1.435912 5.933667 9.640479
4.834242 S4 166.444740 1.616741 9.740867 0.286601 1448 1.448672 1.448672 0.240320 1.538394 1.447928 5.992351 9.640479
5.034909 S2 166.444740 1.665822 9.558645 0.292065 1448 1.426793 1.426793 0.252336 1.568345 1.447928 5.992351 9.640479
5.236778 S1 166.444740 2.222468 9.683611 0.291884 1448 1.361955 1.361955 0.336448 1.786093 1.465952 6.080919 9.640479
5.437445 S0 166.444740 2.261029 9.758125 0.292030 1448 1.158137 1.158137 0.342456 1.802188 1.477968 6.140325 9.640479
5.639314 S3 166.444740 1.547874 9.519425 0.299353 1448 1.247286 1.247286 0.240320 1.538394 1.477968 6.140325 9.640479
5.841183 S1 166.444740 2.257327 9.729857 0.297641 1448 1.350449 1.350449 0.348464 1.818355 1.502000 6.260004 9.640479
6.041850 S0 166.444740 2.252606 9.748345 0.298264 1448 1.588478 1.588478 0.348464 1.818355 1.508008 6.290104 9.640479
6.243719 S3 166.444740 1.564947 9.580529 0.303489 1448 1.557853 1.557853 0.246328 1.553333 1.508008 6.290104 9.640479
6.444386 S3 166.444740 1.604601 9.742219 0.303208 1448 1.210311 1.210311 0.252336 1.568345 1.532040 6.411227 9.640479
6.645053 S0 166.444740 2.247726 9.752846 0.304065 1448 1.567312 1.567312 0.354472 1.834594 1.538048 6.441688 9.640479
6.846922 S3 166.444740 1.562226 9.522142 0.311432 1448 1.479377 1.479377 0.252336 1.568345 1.538048 6.441688 9.640479
7.048791 S1 166.444740 2.207421 9.690202 0.309617 1448 1.405002 1.405002 0.354472 1.834594 1.556072 6.533504 9.640479
7.249458 S0 332.889481 2.239799 9.743127 0.310314 1448 1.374748 1.374748 0.180240 1.392966 0.784044 3.182813 19.280959
7.450125 S2 166.444740 1.685852 9.565380 0.316080 1448 1.468280 1.468280 0.276368 1.629115 1.568088 6.595076 9.640479
7.651994 S1 166.444740 2.192598 9.647431 0.316994 1448 1.454757 1.454757 0.360480 1.850906 1.586112 6.687975 9.640479
7.853863 S4 166.444740 1.652797 9.769865 0.315393 1448 1.293267 1.293267 0.270360 1.613815 1.598128 6.750269 9.640479
8.055731 S2 166.444740 1.712831 9.693897 0.317864 1448 1.582310 1.582310 0.282376 1.644488 1.598128 6.750269 9.640479
8.257600 S0 166.444740 2.234568 9.695142 0.321408 1448 1.606882 1.606882 0.372496 1.883745 1.616152 6.844251 9.640479
8.459469 S3 166.444740 1.613381 9.716140 0.323098 1448 1.241351 1.241351 0.270360 1.613815 1.628168 6.907267 9.640479
8.660136 S1 166.444740 2.198558 9.609828 0.326672 1448 1.497663 1.497663 0.372496 1.883745 1.628168 6.907267 9.640479
8.862005 S0 166.444740 2.202804 9.663915 0.326043 1448 1.480492 1.480492 0.372496 1.883745 1.634176 6.938883 9.640479
9.063874 S3 166.444740 1.609491 9.656943 0.331076 1448 1.441536 1.441536 0.276368 1.629115 1.658208 7.066070 9.640479
9.264541 S1 166.444740 2.209679 9.680498 0.330271 1448 1.568355 1.568355 0.378504 1.900273 1.658208 7.066070 9.640479
9.465208 S4 166.444740 1.607556 9.440118 0.338681 1448 1.562941 1.562941 0.282376 1.644488 1.658208 7.066070 9.640479
9.667077 S2 166.444740 1.691383 9.596007 0.335593 1448 1.727728 1.727728 0.294392 1.675451 1.670224 7.130096 9.640479
9.868946 S0 166.444740 2.193495 9.630812 0.337989 1448 1.729052 1.729052 0.384512 1.916873 1.688248 7.226677 9.640479
10.070815 S2 110.963160 1.704970 9.581934 0.339713 1448 1.463031 1.463031 0.450600 2.104240 2.532372 12.477652 6.426986
10.271482 S1 166.444740 2.182062 9.614709 0.339759 1448 1.764691 1.764691 0.384512 1.916873 1.694256 7.259015 9.640479
10.472149 S4 166.444740 1.672939 9.764501 0.339293 1448 1.445158 1.445158 0.294392 1.675451 1.718288 7.389090 9.640479
10.672816 S1 166.444740 2.190097 9.636426 0.343802 1448 1.528655 1.528655 0.390520 1.933546 1.718288 7.389090 9.640479
10.873483 S0 166.444740 2.183160 9.605906 0.344894 1448 1.742977 1.742977 0.390520 1.933546 1.718288 7.389090 9.640479
11.074151 S3 166.444740 1.588713 9.532275 0.349989 1448 1.477002 1.477002 0.288384 1.659933 1.730304 7.454560 9.640479
11.276019 S1 166.444740 2.187452 9.644675 0.349513 1448 1.563312 1.563312 0.396528 1.950290 1.748328 7.553307 9.640479
11.476687 S3 166.444740 1.630380 9.682462 0.348149 1448 1.750877 1.750877 0.294392 1.675451 1.748328 7.553307 9.640479
11.677354 S1 110.963160 2.161720 9.531219 0.353674 1448 1.682856 1.682856 0.594792 2.543362 2.622492 13.122448 6.426986
11.879223 S4 166.444740 1.677418 9.636932 0.352198 1448 1.754789 1.754789 0.306408 1.706702 1.760344 7.619499 9.640479
12.079890 S2 166.444740 1.725341 9.635868 0.355844 1448 1.540187 1.540187 0.318424 1.738242 1.778368 7.719329 9.640479
12.280557 S0 166.444740 2.201098 9.724256 0.352609 1448 1.975502 1.975502 0.402536 1.967107 1.778368 7.719329 9.640479
12.482426 S3 166.444740 1.628598 9.641301 0.355643 1448 1.498231 1.498231 0.300400 1.691040 1.778368 7.719329 9.640479
12.684295 S1 166.444740 2.139608 9.548398 0.362743 1448 1.684622 1.684622 0.402536 1.967107 1.796392 7.819808 9.640479
12.886163 S4 166.444740 1.680867 9.729636 0.358367 1448 1.751645 1.751645 0.312416 1.722436 1.808408 7.887155 9.640479
13.086837 S1 166.001829 1.741026 8.350476 0.359292 1448 1.709876 1.709876 0.325298 1.756414 1.560224 6.554746 9.614826
13.287504 S4 166.444740 1.110709 6.283437 0.365028 1448 1.848631 1.848631 0.210280 1.464778 1.189584 4.794278 9.640479
13.489367 S4 166.444740 0.873953 6.299741 0.318113 1448 5.724437 5.724437 0.144192 1.309175 1.039384 4.159087 9.640479
13.691235 S3 166.444740 2.694564 8.732384 0.232147 1448 1.213814 1.213814 0.324432 1.754120 1.051400 4.208242 9.640479
13.893104 S4 166.444740 1.299455 9.583482 0.213948 1448 0.006819 0.006819 0.144192 1.309175 1.063416 4.257686 9.640479
14.094973 S2 110.963160 1.396994 9.564038 0.215594 1448 4.799638 4.799638 0.234312 1.523526 1.604136 6.781524 6.426986
14.296842 S3 166.444740 2.834117 9.552023 0.220716 1448 87.252033 87.252033 0.324432 1.754120 1.093456 4.382558 9.640479
14.498711 S2 166.444740 1.473297 9.681665 0.220154 1448 0.382139 0.382139 0.168224 1.364747 1.105472 4.433012 9.640479
14.699378 S2 166.444740 1.400667 9.649041 0.223299 1448 0.759199 0.759199 0.162216 1.350746 1.117488 4.483755 9.640479
14.900045 S1 166.444740 1.792110 9.626192 0.226236 1448 1.293416 1.293416 0.210280 1.464778 1.129504 4.534787 9.640479
15.101914 S1 166.444740 1.753528 9.519152 0.231214 1448 1.275547 1.275547 0.210280 1.464778 1.141520 4.586108 9.640479
15.302581 S0 166.444740 1.819550 9.754810 0.229191 1448 1.270702 1.270702 0.216288 1.479356 1.159544 4.663630 9.640479
15.503248 S4 166.444740 1.401963 9.663534 0.231356 1448 1.185742 1.185742 0.168224 1.364747 1.159544 4.663630 9.640479
15.705117 S3 166.444740 2.820171 9.746908 0.234130 1448 1.293196 1.293196 0.342456 1.802188 1.183576 4.768004 9.640479
15.905784 S3 332.889481 2.781164 9.660886 0.237414 1448 1.095827 1.095827 0.171228 1.371775 0.594792 2.543362 19.280959
16.107653 S2 166.444740 1.464668 9.496720 0.245178 1448 1.244029 1.244029 0.186248 1.407184 1.207608 4.873533 9.640479
16.309522 S2 166.444740 1.478880 9.684279 0.242822 1448 1.235401 1.235401 0.186248 1.407184 1.219624 4.926731 9.640479
16.510189 S1 166.444740 1.811925 9.727174 0.242942 1448 1.195893 1.195893 0.228304 1.508731 1.225632 4.953438 9.640479
16.712058 S0 166.444740 1.840435 9.815652 0.245472 1448 1.308382 1.308382 0.234312 1.523526 1.249664 5.060988 9.640479
16.912725 S3 166.444740 2.744445 9.675331 0.249033 1448 1.022102 1.022102 0.354472 1.834594 1.249664 5.060988 9.640479
17.113392 S3 332.889481 2.717076 9.600334 0.255804 1448 1.108592 1.108592 0.180240 1.392966 0.636848 2.679271 19.280959
17.315261 S2 166.444740 1.499443 9.678220 0.254943 1448 1.229791 1.229791 0.198264 1.435837 1.279704 5.197050 9.640479
17.515928 S1 166.444740 1.812398 9.651018 0.255661 1448 1.103202 1.103202 0.240320 1.538394 1.279704 5.197050 9.640479
17.717797 S0 166.444740 1.845155 9.720815 0.257401 1448 1.106597 1.106597 0.246328 1.553333 1.297728 5.279554 9.640479
