0-Time 1-Source 2-bdp_pkts 3-arr_Mbps  4-aggreg_ar_Mbps  5-AverageRttValue 6-pktsize 7-mupsi 8-aggreg_mupsi 9-occ_bdp_per_source 10-mupsi_mm1_per_source 11-aggreg_occ_bdp 12-aggreg_mupsi_mm1 13-measured_btlBW_Mbps
0.200179 S1 2.976757 0.057920 0.637120 0.200000 1448 0.998764 0.998764 0.335936 1.784725 3.695296 22.045805 0.172414
0.401462 S0 0.994314 0.521280 2.838080 0.200000 1448 1.000000 1.000000 9.051468 101.032006 49.280214 2528.099905 0.057591
0.602750 S0 2.788667 0.700844 3.935508 0.214872 1448 0.999999 0.999999 4.661725 32.055128 26.177378 738.609878 0.161520
0.804037 S0 3.379038 1.023629 5.629960 0.226332 1448 1.081046 1.081046 5.918844 47.870408 32.553644 1125.847039 0.195714
1.007727 S0 5.324864 0.958034 6.454124 0.229737 1448 1.154531 1.154531 3.568166 20.868142 24.038172 626.910065 0.308416
1.209015 S0 8.018332 0.966761 7.734087 0.215681 1448 1.207751 1.207751 2.244856 10.529090 17.958848 359.437905 0.464422
1.411504 S0 15.471680 0.913391 7.629503 0.215601 1448 1.235291 1.235291 1.098782 4.404885 9.178059 103.592890 0.896120
1.612791 S0 15.471680 0.902111 7.724323 0.205456 1448 1.275754 1.275754 1.034148 4.137756 8.854888 97.118820 0.896120
1.815280 S0 15.471680 0.830949 7.312353 0.209110 1448 1.350984 1.350984 0.969513 3.878983 8.531717 90.853630 0.896120
2.016567 S0 15.471680 0.790845 7.174098 0.205067 1448 1.128638 1.128638 0.904879 3.628564 8.208546 84.797318 0.896120
2.219056 S0 14.784540 0.660035 6.655351 0.210607 1448 1.228792 1.228792 0.811659 3.282107 8.184225 84.349982 0.856321
2.421545 S0 14.155841 0.548284 6.360096 0.211277 1448 1.134782 1.134782 0.706422 2.911877 8.194498 84.538785 0.819906
2.624034 S0 13.578429 0.599099 6.263308 0.212693 1448 1.384157 1.384157 0.810108 3.276492 8.469315 89.667932 0.786463
2.825321 S0 13.578429 0.434457 5.865176 0.213305 1448 1.242612 1.242612 0.589170 2.525461 7.953792 80.170387 0.786463
3.027810 S0 13.578429 0.438840 5.924338 0.211175 1448 0.967062 0.967062 0.589170 2.525461 7.953792 80.170387 0.786463
3.230299 S0 13.578429 0.390184 5.964234 0.207820 1448 1.020734 1.020734 0.515524 2.296812 7.880146 78.856985 0.786463
3.431586 S0 14.784540 0.379373 5.798981 0.213742 1448 0.953158 0.953158 0.473468 2.171107 7.237290 67.852939 0.856321
3.632873 S0 17.057214 0.324763 5.791610 0.214014 1448 1.031304 1.031304 0.351757 1.827248 6.273006 52.896610 0.987954
3.835362 S0 17.978427 0.260851 5.634389 0.222042 1448 1.042644 1.042644 0.278111 1.633568 6.007200 49.100848 1.041310
4.036649 S0 21.454522 0.209562 5.710561 0.221109 1448 1.084109 1.084109 0.186441 1.407642 5.080514 36.972650 1.242646
4.239138 S0 22.932508 0.155147 5.688721 0.223994 1448 1.082835 1.082835 0.130819 1.278751 4.796684 33.601548 1.328251
4.440426 S0 26.597004 0.155375 5.800674 0.223665 1448 1.086081 1.086081 0.112795 1.238312 4.211001 27.154528 1.540498
4.641713 S0 31.655367 0.152859 5.859601 0.227347 1448 1.180098 1.180098 0.094771 1.198523 3.632875 21.463534 1.833479
4.843000 S0 44.290471 0.151883 5.974074 0.228807 1448 1.018945 1.018945 0.067735 1.140057 2.664230 13.426581 2.565304
5.044288 S0 60.349229 0.154071 6.162846 0.225558 1448 0.908354 0.908354 0.049711 1.101892 1.988426 8.930692 3.495427
5.245575 S0 132.306284 0.152343 6.195284 0.228117 1448 1.026984 1.026984 0.022675 1.045863 0.922103 3.694479 7.663180
5.446242 S4 166.444740 2.478278 6.372714 0.229036 1448 1.123376 1.123376 0.294392 1.675451 0.757008 3.087077 9.640479
5.646328 S4 166.444740 2.533894 6.436090 0.228581 1448 1.138261 1.138261 0.300400 1.691040 0.763016 3.108225 9.640479
5.847615 S4 166.444740 2.594750 6.461437 0.227684 1448 1.132838 1.132838 0.306408 1.706702 0.763016 3.108225 9.640479
6.047701 S4 166.444740 2.678340 6.644344 0.224903 1448 1.106238 1.106238 0.312416 1.722436 0.775032 3.150739 9.640479
6.248988 S4 166.444740 2.756068 6.864169 0.222764 1448 0.431370 0.431370 0.318424 1.738242 0.793056 3.215050 9.640479
6.449074 S4 166.444740 2.815265 6.986029 0.222194 1448 1.197730 1.197730 0.324432 1.754120 0.805072 3.258285 9.640479
6.650361 S4 166.444740 2.828134 6.941783 0.225279 1448 1.149390 1.149390 0.330440 1.770071 0.811080 3.280011 9.640479
6.850447 S4 166.444740 2.846745 6.964357 0.227876 1448 1.133530 1.133530 0.336448 1.786093 0.823096 3.323679 9.640479
7.051734 S4 166.444740 2.940739 7.222869 0.224531 1448 1.132129 1.132129 0.342456 1.802188 0.841120 3.389723 9.640479
7.251820 S4 166.444740 3.014168 7.431482 0.222905 1448 0.779021 0.779021 0.348464 1.818355 0.859144 3.456416 9.640479
7.453107 S4 166.444740 3.050987 7.446477 0.224011 1448 0.745616 0.745616 0.354472 1.834594 0.865152 3.478792 9.640479
7.653193 S4 166.444740 3.183922 7.747544 0.218297 1448 0.979412 0.979412 0.360480 1.850906 0.877168 3.523760 9.640479
7.854480 S4 166.444740 3.187911 7.734605 0.221657 1448 1.276478 1.276478 0.366488 1.867289 0.889184 3.569016 9.640479
8.055767 S4 166.444740 3.266891 7.851076 0.219845 1448 2.789566 2.789566 0.372496 1.883745 0.895192 3.591753 9.640479
8.257054 S4 166.444740 3.256244 7.752963 0.224121 1448 1.638286 1.638286 0.378504 1.900273 0.901200 3.614561 9.640479
8.457140 S4 166.444740 3.325078 7.897060 0.222965 1448 0.852824 0.852824 0.384512 1.916873 0.913216 3.660395 9.640479
8.658427 S4 166.444740 3.317086 7.961006 0.226994 1448 0.485975 0.485975 0.390520 1.933546 0.937248 3.752930 9.640479
8.859715 S4 166.444740 3.392124 8.069144 0.225388 1448 0.618886 0.618886 0.396528 1.950290 0.943256 3.776244 9.640479
9.061002 S4 166.444740 3.326331 7.893830 0.233329 1448 0.579662 0.579662 0.402536 1.967107 0.955272 3.823089 9.640479
9.261088 S4 166.444740 3.391978 8.150873 0.228813 1448 0.651505 0.651505 0.402536 1.967107 0.967288 3.870222 9.640479
9.462375 S4 166.444740 3.429620 8.221002 0.229679 1448 1.982681 1.982681 0.408544 1.983996 0.979304 3.917644 9.640479
9.663662 S3 166.444740 3.950294 8.464916 0.225798 1448 0.485166 0.485166 0.462616 2.139246 0.991320 3.965355 9.640479
9.863748 S3 166.444740 4.134111 8.904239 0.218560 1448 0.292790 0.292790 0.468624 2.156856 1.009344 4.037463 9.640479
10.065035 S3 166.444740 4.175887 9.091805 0.219148 1448 0.430564 0.430564 0.474632 2.174540 1.033376 4.134618 9.640479
10.266904 S3 166.444740 4.249235 9.188970 0.218091 1448 0.088980 0.088980 0.480640 2.192295 1.039384 4.159087 9.640479
10.468773 S3 166.444740 4.165281 8.903289 0.222487 1448 2.254343 2.254343 0.480640 2.192295 1.027368 4.110221 9.640479
10.670642 S3 166.444740 4.219257 8.959409 0.222386 1448 1.438653 1.438653 0.486648 2.210122 1.033376 4.134618 9.640479
10.871309 S3 166.444740 4.246028 9.068676 0.220984 1448 0.760280 0.760280 0.486648 2.210122 1.039384 4.159087 9.640479
11.073178 S3 166.444740 4.318676 9.269354 0.219949 1448 0.905441 0.905441 0.492656 2.228022 1.057408 4.232928 9.640479
11.273845 S4 166.444740 3.795874 8.976728 0.225828 1448 0.885103 0.885103 0.444592 2.086846 1.051400 4.208242 9.640479
11.475714 S4 110.963160 3.856515 9.101376 0.225281 1448 0.698195 0.698195 0.675900 2.808641 1.595124 6.734669 6.426986
11.676381 S3 166.444740 4.253024 9.069702 0.226068 1448 1.165789 1.165789 0.498664 2.245994 1.063416 4.257686 9.640479
11.878250 S3 166.444740 4.216526 8.929114 0.233519 1448 1.037450 1.037450 0.510680 2.282154 1.081440 4.332392 9.640479
12.080118 S3 166.444740 4.243516 8.986270 0.232034 1448 1.330448 1.330448 0.510680 2.282154 1.081440 4.332392 9.640479
12.280786 S3 166.444740 4.243241 9.029221 0.234779 1448 1.078063 1.078063 0.516688 2.300342 1.099464 4.407749 9.640479
12.481453 S1 166.444740 0.099984 9.148494 0.231718 1448 1.312219 1.312219 0.012016 1.024176 1.099464 4.407749 9.640479
12.683322 S4 166.444740 3.997332 9.293797 0.231835 1448 1.865615 1.865615 0.480640 2.192295 1.117488 4.483755 9.640479
12.883989 S4 166.444740 4.006129 9.482863 0.228434 1448 0.593744 0.593744 0.474632 2.174540 1.123496 4.509235 9.640479
13.085858 S4 166.444740 4.030624 9.572732 0.229920 1448 0.951420 0.951420 0.480640 2.192295 1.141520 4.586108 9.640479
13.287726 S3 166.444740 4.530487 9.558830 0.232678 1448 1.201096 1.201096 0.546728 2.392368 1.153536 4.637717 9.640479
13.489595 S3 166.444740 4.463652 9.363966 0.238757 1448 1.226426 1.226426 0.552736 2.410989 1.159544 4.663630 9.640479
13.690262 S4 166.444740 3.795754 8.997343 0.247198 1448 1.236224 1.236224 0.486648 2.210122 1.153536 4.637717 9.640479
13.890930 S3 166.444740 4.417601 9.025206 0.243868 1448 1.292376 1.292376 0.558744 2.429683 1.141520 4.586108 9.640479
14.092798 S3 166.444740 4.500427 9.192362 0.241954 1448 1.156472 1.156472 0.564752 2.448449 1.153536 4.637717 9.640479
14.294667 S4 166.444740 3.884331 9.189759 0.244544 1448 1.298079 1.298079 0.492656 2.228022 1.165552 4.689615 9.640479
14.495334 S4 166.444740 3.962774 9.405621 0.242626 1448 1.303918 1.303918 0.498664 2.245994 1.183576 4.768004 9.640479
14.696002 S4 166.444740 3.973438 9.526676 0.241975 1448 1.702152 1.702152 0.498664 2.245994 1.195592 4.820624 9.640479
14.897870 S3 166.444740 4.535514 9.348712 0.250298 1448 2.283669 2.283669 0.588784 2.524235 1.213616 4.900096 9.640479
15.099739 S4 166.444740 3.803568 9.165225 0.252782 1448 0.378849 0.378849 0.498664 2.245994 1.201600 4.847043 9.640479
15.300406 S3 166.444740 4.493864 9.125295 0.252618 1448 1.124769 1.124769 0.588784 2.524235 1.195592 4.820624 9.640479
15.502275 S2 166.444740 0.184298 9.214894 0.251419 1448 1.175200 1.175200 0.024032 1.048642 1.201600 4.847043 9.640479
15.702942 S4 107.020548 3.765621 9.164524 0.255329 1448 1.695258 1.695258 0.775552 3.152585 1.887488 8.337587 6.198630
15.903610 S4 166.444740 3.827558 9.361377 0.251197 1448 0.931643 0.931643 0.498664 2.245994 1.219624 4.926731 9.640479
16.104277 S3 166.444740 4.582301 9.347894 0.252799 1448 1.150505 1.150505 0.600800 2.562561 1.225632 4.953438 9.640479
16.304944 S3 166.444740 4.518502 9.217744 0.256368 1448 1.103753 1.103753 0.600800 2.562561 1.225632 4.953438 9.640479
16.506813 S3 166.444740 4.540611 9.262846 0.255120 1448 1.066761 1.066761 0.600800 2.562561 1.225632 4.953438 9.640479
16.708682 S4 166.444740 3.769779 9.220061 0.255047 1448 1.234124 1.234124 0.498664 2.245994 1.219624 4.926731 9.640479
16.910550 S4 166.444740 3.800905 9.250396 0.252959 1448 1.216651 1.216651 0.498664 2.245994 1.213616 4.900096 9.640479
17.112419 S3 166.444740 4.484885 9.014618 0.258290 1448 1.270174 1.270174 0.600800 2.562561 1.207608 4.873533 9.640479
17.313086 S3 166.444740 4.505230 9.010459 0.259695 1448 1.262204 1.262204 0.606808 2.581832 1.213616 4.900096 9.640479
17.513754 S3 166.444740 4.567874 9.135747 0.258669 1448 1.098606 1.098606 0.612816 2.601175 1.225632 4.953438 9.640479
17.715622 S3 166.444740 4.535762 9.027057 0.260500 1448 1.359090 1.359090 0.612816 2.601175 1.219624 4.926731 9.640479
