0-Time 1-Source 2-bdp_pkts 3-arr_Mbps  4-aggreg_ar_Mbps  5-AverageRttValue 6-pktsize 7-mupsi 8-aggreg_mupsi 9-occ_bdp_per_source 10-mupsi_mm1_per_source 11-aggreg_occ_bdp 12-aggreg_mupsi_mm1 13-measured_btlBW_Mbps
0.200179 S1 2.976757 0.057920 0.637120 0.200000 1448 0.998764 0.998764 0.335936 1.784725 3.695296 22.045805 0.172414
0.401462 S0 0.994314 0.521280 2.838080 0.200000 1448 1.000000 1.000000 9.051468 101.032006 49.280214 2528.099905 0.057591
0.602750 S0 2.788667 0.916488 5.013729 0.214872 1448 0.999999 0.999999 6.096102 50.354660 33.349262 1179.871832 0.161520
0.804037 S0 4.239763 1.749524 9.347455 0.231743 1448 1.079339 1.079339 8.255178 85.658314 44.106235 2034.572449 0.245567
1.004704 S4 166.444740 2.329703 15.815097 0.258560 1448 1.155506 1.155506 0.312416 1.722436 2.120824 9.739542 9.640479
1.205378 S2 166.001829 3.366555 20.947454 0.278713 1448 1.243131 1.243131 0.487946 2.213985 3.036111 16.290193 9.614826
1.406058 S0 166.001829 2.672772 13.485348 0.286049 1448 1.313082 1.313082 0.397586 1.953247 2.006002 9.036048 9.614826
1.606725 S4 499.334221 1.251288 9.889208 0.286988 1448 1.369598 1.369598 0.062083 1.128020 0.490653 2.222047 28.921438
1.807373 S2 166.444740 2.262885 11.597287 0.286671 1448 1.352112 1.352112 0.336448 1.786093 1.724296 7.421789 9.640479
2.008059 S1 499.334221 3.189628 13.037603 0.290542 1448 1.173502 1.173502 0.160213 1.346095 0.654872 2.738601 28.921438
2.208720 S4 166.444740 1.230650 11.960383 0.301213 1448 1.373022 1.373022 0.192256 1.421474 1.868488 8.228223 9.640479
2.409394 S2 166.444740 1.574959 10.909470 0.301560 1448 1.474686 1.474686 0.246328 1.553333 1.706272 7.323908 9.640479
2.610048 S1 294.600121 3.075487 10.302880 0.301325 1448 1.993054 1.993054 0.271555 1.616851 0.909708 3.646984 17.063239
2.811910 S4 166.444740 1.115296 7.345572 0.301208 1448 2.328011 2.328011 0.174232 1.378821 1.147528 4.611877 9.640479
3.012578 S2 166.444740 1.653366 7.651622 0.301272 1448 1.300767 1.300767 0.258344 1.583430 1.195592 4.820624 9.640479
3.214446 S2 166.444740 1.671045 6.912050 0.305016 1448 1.303068 1.303068 0.264352 1.598586 1.093456 4.382558 9.640479
3.415114 S0 166.444740 2.416125 8.522332 0.263695 1448 1.721890 1.721890 0.330440 1.770071 1.165552 4.689615 9.640479
3.615781 S0 166.444740 2.721230 10.359770 0.242643 1448 0.682492 0.682492 0.342456 1.802188 1.303736 5.307200 9.640479
3.817650 S4 166.444740 1.589625 11.454654 0.247767 1448 1.266953 1.266953 0.204272 1.450271 1.471960 6.110586 9.640479
4.018317 S2 166.444740 2.081695 10.972265 0.267105 1448 1.620956 1.620956 0.288384 1.659933 1.520024 6.350521 9.640479
4.220186 S1 166.444740 2.225719 10.214459 0.291458 1448 1.139086 1.139086 0.336448 1.786093 1.544056 6.472221 9.640479
4.420859 S0 166.444740 2.349417 9.621424 0.310627 1448 1.764581 1.764581 0.378504 1.900273 1.550064 6.502826 9.640479
4.621533 S1 166.001829 1.898413 8.487023 0.311199 1448 1.004203 1.004203 0.307226 1.708839 1.373479 5.633402 9.614826
4.822187 S2 110.963160 1.864296 8.294214 0.304467 1448 0.563109 0.563109 0.441588 2.078176 1.964616 8.788948 6.426986
5.022854 S0 166.444740 1.883839 8.927757 0.282861 1448 0.742911 0.742911 0.276368 1.629115 1.309744 5.334917 9.640479
5.223522 S3 166.444740 1.720262 9.924590 0.262620 1448 0.141131 0.141131 0.234312 1.523526 1.351800 5.530963 9.640479
5.425390 S2 166.444740 2.115150 9.885087 0.268357 1448 2.441889 2.441889 0.294392 1.675451 1.375832 5.644578 9.640479
5.627259 S2 166.444740 2.110860 9.921040 0.274391 1448 1.408569 1.408569 0.300400 1.691040 1.411880 5.817165 9.640479
5.829128 S0 166.444740 2.093867 9.966808 0.276617 1448 2.077356 2.077356 0.300400 1.691040 1.429904 5.904433 9.640479
6.030997 S3 166.444740 1.845064 9.786859 0.288805 1448 0.276097 0.276097 0.276368 1.629115 1.465952 6.080919 9.640479
6.231664 S1 166.444740 2.225059 9.734631 0.291545 1448 1.807056 1.807056 0.336448 1.786093 1.471960 6.110586 9.640479
6.433533 S0 166.444740 2.068304 9.784669 0.291238 1448 1.962861 1.962861 0.312416 1.722436 1.477968 6.140325 9.640479
6.634200 S3 166.444740 1.824753 9.706134 0.298368 1448 0.262718 0.262718 0.282376 1.644488 1.502000 6.260004 9.640479
6.836069 S1 166.444740 2.264117 9.798160 0.296748 1448 0.213408 0.213408 0.348464 1.818355 1.508008 6.290104 9.640479
7.036736 S0 166.444740 2.005306 9.795148 0.300387 1448 0.570310 0.570310 0.312416 1.722436 1.526032 6.380838 9.640479
7.238605 S3 166.444740 1.867712 9.834073 0.303910 1448 1.652936 1.652936 0.294392 1.675451 1.550064 6.502826 9.640479
7.439272 S1 166.444740 2.269361 9.417846 0.306271 1448 1.749975 1.749975 0.360480 1.850906 1.495992 6.229976 9.640479
7.639939 S0 166.444740 1.919692 7.937190 0.313784 1448 1.622281 1.622281 0.312416 1.722436 1.291720 5.251981 9.640479
7.841808 S4 166.444740 1.160882 8.551828 0.299359 1448 2.482624 2.482624 0.180240 1.392966 1.327768 5.418504 9.640479
8.043677 S3 110.963160 1.597566 9.627435 0.275539 1448 2.017807 2.017807 0.342456 1.802188 2.063748 9.386552 6.426986
8.244344 S1 166.444740 2.594080 10.116911 0.267933 1448 1.313088 1.313088 0.360480 1.850906 1.405872 5.788220 9.640479
8.446213 S0 166.444740 2.179245 10.016145 0.276411 1448 1.450097 1.450097 0.312416 1.722436 1.435912 5.933667 9.640479
8.648082 S4 166.444740 1.450531 9.831379 0.287497 1448 5.812495 5.812495 0.216288 1.479356 1.465952 6.080919 9.640479
8.849950 S1 166.444740 2.399984 9.919932 0.289602 1448 1.864848 1.864848 0.360480 1.850906 1.489984 6.200020 9.640479
9.050618 S2 166.444740 1.871842 9.788173 0.297051 1448 1.914173 1.914173 0.288384 1.659933 1.508008 6.290104 9.640479
9.251285 S0 110.963160 2.034087 9.786646 0.301832 1448 3.413545 3.413545 0.477636 2.183408 2.298060 10.877200 6.426986
9.451952 S1 166.444740 2.263501 9.695331 0.307064 1448 1.188673 1.188673 0.360480 1.850906 1.544056 6.472221 9.640479
9.652626 S2 166.001829 1.898976 9.792759 0.311107 1448 1.164772 1.164772 0.307226 1.708839 1.584320 6.678709 9.614826
9.853293 S4 166.444740 1.280763 8.928750 0.316561 1448 1.427789 1.427789 0.210280 1.464778 1.465952 6.080919 9.640479
10.053954 S1 166.444740 2.257002 7.972315 0.318213 1448 1.083638 1.083638 0.372496 1.883745 1.315752 5.362707 9.640479
10.255822 S1 166.444740 2.558803 9.341661 0.285208 1448 0.758540 0.758540 0.378504 1.900273 1.381840 5.673162 9.640479
10.456490 S0 166.444740 1.959650 10.053856 0.271918 1448 1.871285 1.871285 0.276368 1.629115 1.417888 5.846182 9.640479
10.658358 S3 166.444740 1.987311 9.977956 0.279791 1448 0.878914 0.878914 0.288384 1.659933 1.447928 5.992351 9.640479
10.859026 S1 166.444740 2.723861 10.041698 0.284937 1448 1.069483 1.069483 0.402536 1.967107 1.483976 6.170137 9.640479
11.059693 S1 166.444740 2.661765 10.051143 0.291584 1448 1.751714 1.751714 0.402536 1.967107 1.520024 6.350521 9.640479
11.260360 S3 107.020548 1.825997 9.814732 0.304509 1448 0.689160 0.689160 0.448512 2.098187 2.410752 11.633229 6.198630
11.462229 S1 166.444740 2.768058 9.972592 0.305497 1448 1.187033 1.187033 0.438584 2.069524 1.580104 6.656937 9.640479
11.662903 S0 166.444740 1.399503 8.691649 0.314535 1448 0.192667 0.192667 0.228304 1.508731 1.417888 5.846182 9.640479
11.863570 S0 166.444740 1.383627 7.245834 0.318144 1448 0.018795 0.018795 0.228304 1.508731 1.195592 4.820624 9.640479
12.064243 S4 166.444740 1.107957 8.658475 0.282293 1448 1.818977 1.818977 0.162216 1.350746 1.267688 5.142409 9.640479
12.264898 S3 166.444740 2.172943 9.732975 0.255889 1448 2.158757 2.158757 0.288384 1.659933 1.291720 5.251981 9.640479
12.465565 S1 166.444740 2.602894 9.838056 0.262575 1448 1.126693 1.126693 0.354472 1.834594 1.339784 5.474589 9.640479
12.666232 S4 332.889481 1.301703 9.892943 0.266973 1448 0.958986 0.958986 0.090120 1.188362 0.684912 2.838928 19.280959
12.866899 S3 166.444740 2.119205 10.002647 0.273310 1448 1.309474 1.309474 0.300400 1.691040 1.417888 5.846182 9.640479
13.068768 S3 166.444740 2.137633 10.101362 0.276373 1448 2.417473 2.417473 0.306408 1.706702 1.447928 5.992351 9.640479
13.270637 S1 166.444740 2.693792 9.810228 0.288117 1448 1.669877 1.669877 0.402536 1.967107 1.465952 6.080919 9.640479
13.472506 S3 166.444740 2.103262 9.737326 0.297412 1448 0.058639 0.058639 0.324432 1.754120 1.502000 6.260004 9.640479
13.675576 S2 110.963160 1.605766 9.947919 0.295774 1448 0.627888 0.627888 0.369492 1.875508 2.289048 10.817837 6.426986
13.876243 S2 166.444740 1.593913 9.715282 0.305241 1448 1.209196 1.209196 0.252336 1.568345 1.538048 6.441688 9.640479
14.076910 S3 166.444740 2.306869 9.719105 0.306313 1448 1.123433 1.123433 0.366488 1.867289 1.544056 6.472221 9.640479
14.277578 S3 66.577896 2.319739 8.432066 0.314601 1448 1.530682 1.530682 0.946260 3.787928 3.439580 19.709871 3.856192
14.478251 S2 66.436067 1.081373 8.501832 0.310657 1448 2.645904 2.645904 0.436510 2.063561 3.431871 19.641479 3.847977
14.678912 S3 166.444740 2.673867 9.378489 0.290264 1448 0.222448 0.222448 0.402536 1.967107 1.411880 5.817165 9.640479
14.880781 S4 166.444740 1.324731 9.976878 0.279821 1448 1.078604 1.078604 0.192256 1.421474 1.447928 5.992351 9.640479
15.081448 S1 166.444740 2.223134 9.903051 0.286586 1448 0.769383 0.769383 0.330440 1.770071 1.471960 6.110586 9.640479
15.283317 S0 166.444740 1.835688 9.976565 0.290280 1448 1.808810 1.808810 0.276368 1.629115 1.502000 6.260004 9.640479
15.483984 S4 166.444740 1.246157 10.008198 0.297465 1448 1.446864 1.446864 0.192256 1.421474 1.544056 6.472221 9.640479
15.685853 S1 166.444740 2.212565 9.994692 0.303662 1448 1.761678 1.761678 0.348464 1.818355 1.574096 6.625970 9.640479
15.886520 S0 166.444740 1.773422 9.206702 0.307004 1448 2.009641 2.009641 0.282376 1.644488 1.465952 6.080919 9.640479
16.087187 S4 166.444740 1.281445 7.877120 0.307353 1448 2.126015 2.126015 0.204272 1.450271 1.255672 5.088056 9.640479
16.287861 S1 416.111851 1.570776 8.122062 0.302363 1448 1.313709 1.313709 0.098531 1.206771 0.509478 2.278525 24.101198
16.489723 S2 166.444740 1.184149 9.824051 0.264129 1448 1.343308 1.343308 0.162216 1.350746 1.345792 5.502740 9.640479
16.691592 S0 110.963160 2.176877 10.100708 0.266069 1448 2.142030 2.142030 0.450600 2.104240 2.090784 9.552946 6.426986
16.892259 S3 166.444740 2.922429 10.164972 0.273504 1448 1.173320 1.173320 0.414552 2.000957 1.441920 5.962973 9.640479
17.092926 S3 110.963160 2.936293 10.073117 0.284048 1448 1.256136 1.256136 0.648864 2.718752 2.225964 10.406844 6.426986
17.294795 S0 166.444740 2.154605 10.174524 0.290325 1448 1.490237 1.490237 0.324432 1.754120 1.532040 6.411227 9.640479
17.496664 S3 166.444740 2.933024 10.149806 0.300163 1448 1.727092 1.727092 0.456608 2.121707 1.580104 6.656937 9.640479
17.697331 S1 83.222370 1.828943 9.517971 0.310352 1448 1.132677 1.132677 0.588784 2.524235 3.064080 16.516746 4.820240
