0-Time 1-Source 2-bdp_pkts 3-arr_Mbps  4-aggreg_ar_Mbps  5-AverageRttValue 6-pktsize 7-mupsi 8-aggreg_mupsi 9-occ_bdp_per_source 10-mupsi_mm1_per_source 11-aggreg_occ_bdp 12-aggreg_mupsi_mm1 13-measured_btlBW_Mbps
0.200179 S1 2.976757 0.057920 0.637120 0.200000 1448 0.998764 0.998764 0.335936 1.784725 3.695296 22.045805 0.172414
0.401462 S0 0.994314 0.521280 2.838080 0.200000 1448 1.000000 1.000000 9.051468 101.032006 49.280214 2528.099905 0.057591
0.602750 S0 2.788667 0.700844 3.935508 0.214872 1448 0.999999 0.999999 4.661725 32.055128 26.177378 738.609878 0.161520
0.804037 S0 3.379038 1.023629 5.629960 0.226332 1448 1.081046 1.081046 5.918844 47.870408 32.553644 1125.847039 0.195714
1.006526 S0 5.411425 1.563108 8.319769 0.229737 1448 1.154327 1.154327 5.728621 45.274338 30.491046 991.685997 0.313430
1.207813 S0 51.087604 2.268898 11.972059 0.239961 1448 1.192377 1.192377 0.919988 3.686355 4.854407 34.274076 2.958994
1.409682 S3 166.444740 2.688317 15.127479 0.254232 1448 1.216781 1.216781 0.354472 1.834594 1.994656 8.967965 9.640479
1.610349 S1 166.444740 3.178304 16.566909 0.291577 1448 1.148215 1.148215 0.480640 2.192295 2.505336 12.287380 9.640479
1.812218 S3 166.444740 3.018917 16.472786 0.353017 1448 0.496557 0.496557 0.552736 2.410989 3.016016 16.128385 9.640479
2.012904 S1 8.509186 3.067930 12.085785 0.373808 1448 0.216091 0.216091 11.634486 159.630235 45.832823 2193.313348 0.492852
2.213572 S3 166.001829 1.781871 7.158207 0.377060 1448 1.012766 1.012766 0.349394 1.820863 1.403599 5.777288 9.614826
2.414239 S2 499.334221 1.689705 7.803367 0.377060 1448 1.275412 1.275412 0.110147 1.232426 0.508677 2.276107 28.921438
2.614887 S0 166.444740 1.829305 8.900274 0.329288 1448 1.565667 1.565667 0.312416 1.722436 1.520024 6.350521 9.640479
2.816755 S3 166.444740 1.908600 9.893559 0.297399 1448 2.013734 2.013734 0.294392 1.675451 1.526032 6.380838 9.640479
3.017423 S2 166.444740 2.066096 9.579172 0.308369 1448 3.586681 3.586681 0.330440 1.770071 1.532040 6.411227 9.640479
3.218090 S0 166.444740 2.012731 9.616380 0.310790 1448 0.445162 0.445162 0.324432 1.754120 1.550064 6.502826 9.640479
3.419959 S3 166.444740 1.884451 9.761458 0.307357 1448 1.716242 1.716242 0.300400 1.691040 1.556072 6.533504 9.640479
3.620626 S2 166.444740 2.078582 9.650560 0.312090 1448 2.142684 2.142684 0.336448 1.786093 1.562080 6.564254 9.640479
3.822495 S0 110.963160 2.078393 9.798138 0.312118 1448 0.264948 0.264948 0.504672 2.264038 2.379168 11.418776 6.426986
4.023162 S3 166.444740 1.853526 9.749544 0.312486 1448 2.796512 2.796512 0.300400 1.691040 1.580104 6.656937 9.640479
4.223829 S1 166.444740 1.984743 9.703190 0.315172 1448 1.108466 1.108466 0.324432 1.754120 1.586112 6.687975 9.640479
4.425698 S0 166.444740 1.966238 9.685543 0.318138 1448 1.890152 1.890152 0.324432 1.754120 1.598128 6.750269 9.640479
4.626365 S3 110.963160 1.866752 9.656853 0.322682 1448 1.981615 1.981615 0.468624 2.156856 2.424228 11.725337 6.426986
4.828234 S1 166.444740 1.959845 9.585423 0.325087 1448 1.325001 1.325001 0.330440 1.770071 1.616152 6.844251 9.640479
5.028901 S4 166.444740 1.480347 9.516516 0.328658 1448 0.696726 0.696726 0.252336 1.568345 1.622160 6.875723 9.640479
5.229568 S2 166.444740 2.066328 9.725991 0.325153 1448 1.167666 1.167666 0.348464 1.818355 1.640184 6.970572 9.640479
5.431437 S0 166.444740 1.993462 9.753726 0.325416 1448 1.297722 1.297722 0.336448 1.786093 1.646192 7.002332 9.640479
5.632104 S3 166.444740 1.848227 9.589858 0.332184 1448 3.272928 3.272928 0.318424 1.738242 1.652200 7.034165 9.640479
5.832771 S1 166.444740 1.999115 9.750068 0.330290 1448 1.192386 1.192386 0.342456 1.802188 1.670224 7.130096 9.640479
6.033439 S4 166.444740 1.568719 9.726058 0.332297 1448 2.079255 2.079255 0.270360 1.613815 1.676232 7.162218 9.640479
6.235307 S2 166.444740 2.068091 9.616623 0.336078 1448 0.902787 0.902787 0.360480 1.850906 1.676232 7.162218 9.640479
6.435975 S0 110.963160 1.946601 9.464507 0.345151 1448 1.627025 1.627025 0.522696 2.318603 2.541384 12.541401 6.426986
6.636642 S3 166.444740 1.859553 9.745437 0.336390 1448 1.632215 1.632215 0.324432 1.754120 1.700264 7.291426 9.640479
6.838511 S1 166.444740 1.987795 9.699069 0.337999 1448 1.472498 1.472498 0.348464 1.818355 1.700264 7.291426 9.640479
7.039178 S4 166.444740 1.525623 9.662277 0.341683 1448 0.855673 0.855673 0.270360 1.613815 1.712280 7.356463 9.640479
7.239845 S2 166.444740 2.043508 9.648037 0.345790 1448 1.263786 1.263786 0.366488 1.867289 1.730304 7.454560 9.640479
7.441714 S0 166.444740 1.988291 9.705556 0.343740 1448 1.409494 1.409494 0.354472 1.834594 1.730304 7.454560 9.640479
7.643583 S3 166.444740 1.861942 9.642200 0.348402 1448 1.805456 1.805456 0.336448 1.786093 1.742320 7.520319 9.640479
7.844250 S1 166.444740 1.932114 9.562327 0.353735 1448 1.748491 1.748491 0.354472 1.834594 1.754336 7.586367 9.640479
8.047320 S4 110.963160 1.566584 9.766150 0.347538 1448 1.280111 1.280111 0.423564 2.026534 2.640516 13.253357 6.426986
8.249189 S2 166.444740 2.024236 9.566147 0.354804 1448 2.264889 2.264889 0.372496 1.883745 1.760344 7.619499 9.640479
8.449856 S4 166.444740 1.573692 9.704431 0.353330 1448 2.109648 2.109648 0.288384 1.659933 1.778368 7.719329 9.640479
8.650523 S2 166.444740 2.040165 9.650303 0.357712 1448 1.494692 1.494692 0.378504 1.900273 1.790384 7.786243 9.640479
8.852392 S0 166.444740 1.986456 9.704324 0.355721 1448 1.833036 1.833036 0.366488 1.867289 1.790384 7.786243 9.640479
9.054261 S3 166.444740 1.831978 9.609852 0.360423 1448 1.685710 1.685710 0.342456 1.802188 1.796392 7.819808 9.640479
9.254928 S1 166.444740 1.926411 9.537315 0.366808 1448 1.565869 1.565869 0.366488 1.867289 1.814416 7.920937 9.640479
9.456797 S3 166.444740 1.901293 9.796492 0.359469 1448 1.732649 1.732649 0.354472 1.834594 1.826432 7.988718 9.640479
9.657464 S1 166.444740 1.985569 9.703670 0.361714 1448 1.993531 1.993531 0.372496 1.883745 1.820424 7.954792 9.640479
9.858131 S4 166.444740 1.550324 9.649977 0.366127 1448 1.460400 1.460400 0.294392 1.675451 1.832440 8.022716 9.640479
10.058799 S1 166.444740 1.973257 9.647034 0.369841 1448 1.905032 1.905032 0.378504 1.900273 1.850464 8.125145 9.640479
10.260667 S0 166.444740 1.991163 9.734576 0.366515 1448 1.701801 1.701801 0.378504 1.900273 1.850464 8.125145 9.640479
10.462536 S2 166.444740 2.027123 9.605443 0.371443 1448 1.442295 1.442295 0.390520 1.933546 1.850464 8.125145 9.640479
10.663203 S0 166.444740 1.932766 9.510436 0.377589 1448 2.656760 2.656760 0.378504 1.900273 1.862480 8.193792 9.640479
10.863871 S2 166.444740 2.040001 9.674550 0.374776 1448 2.394650 2.394650 0.396528 1.950290 1.880504 8.297303 9.640479
11.064538 S0 166.444740 1.967720 9.623382 0.376769 1448 4.667084 4.667084 0.384512 1.916873 1.880504 8.297303 9.640479
11.266407 S4 110.963160 1.546210 9.489488 0.382085 1448 2.252820 2.252820 0.459612 2.130467 2.820756 14.598176 6.426986
11.468275 S1 166.444740 1.969174 9.692028 0.376491 1448 0.952537 0.952537 0.384512 1.916873 1.892520 8.366672 9.640479
11.668943 S3 166.444740 1.865927 9.727294 0.378699 1448 1.929379 1.929379 0.366488 1.867289 1.910544 8.471266 9.640479
11.869610 S1 166.444740 1.985732 9.714814 0.379185 1448 1.274566 1.274566 0.390520 1.933546 1.910544 8.471266 9.640479
12.070277 S3 166.444740 1.838754 9.460687 0.390595 1448 0.558133 0.558133 0.372496 1.883745 1.916552 8.506276 9.640479
12.270944 S1 166.444740 1.938685 9.544297 0.388387 1448 1.718364 1.718364 0.390520 1.933546 1.922560 8.541357 9.640479
12.471611 S4 166.444740 1.590127 9.690775 0.386102 1448 1.081577 1.081577 0.318424 1.738242 1.940584 8.647034 9.640479
12.673480 S1 166.444740 1.946640 9.526737 0.392751 1448 1.841762 1.841762 0.396528 1.950290 1.940584 8.647034 9.640479
12.874147 S4 166.444740 1.581943 9.670749 0.388100 1448 1.037037 1.037037 0.318424 1.738242 1.946592 8.682404 9.640479
13.076016 S2 166.444740 2.002509 9.541366 0.393363 1448 1.823474 1.823474 0.408544 1.983996 1.946592 8.682404 9.640479
13.276683 S4 166.444740 1.634996 9.750520 0.389677 1448 6.158373 6.158373 0.330440 1.770071 1.970624 8.824607 9.640479
13.477351 S1 166.444740 1.989798 9.741098 0.390054 1448 1.435725 1.435725 0.402536 1.967107 1.970624 8.824607 9.640479
13.679219 S4 166.444740 1.593580 9.709037 0.392535 1448 2.255181 2.255181 0.324432 1.754120 1.976632 8.860338 9.640479
13.881088 S2 166.444740 1.981195 9.446570 0.403441 1448 1.985224 1.985224 0.414552 2.000957 1.976632 8.860338 9.640479
14.082957 S4 166.444740 1.570010 9.448608 0.405806 1448 2.011003 2.011003 0.330440 1.770071 1.988648 8.932017 9.640479
14.284826 S2 166.444740 2.019815 9.608550 0.401462 1448 2.102235 2.102235 0.420560 2.017991 2.000664 9.003984 9.640479
14.486695 S0 166.444740 1.974223 9.696917 0.398999 1448 2.193570 2.193570 0.408544 1.983996 2.006672 9.040077 9.640479
14.688563 S2 166.444740 2.009631 9.482062 0.409261 1448 1.974317 1.974317 0.426568 2.035096 2.012680 9.076241 9.640479
14.889231 S0 166.444740 1.963756 9.703264 0.401125 1448 2.403478 2.403478 0.408544 1.983996 2.018688 9.112477 9.640479
15.091099 S2 166.444740 2.048432 9.751689 0.401509 1448 2.428154 2.428154 0.426568 2.035096 2.030704 9.185167 9.640479
15.292968 S0 166.444740 1.977207 9.714106 0.404255 1448 1.482688 1.482688 0.414552 2.000957 2.036712 9.221620 9.640479
15.494837 S2 166.444740 1.989924 9.501189 0.413314 1448 2.185741 2.185741 0.426568 2.035096 2.036712 9.221620 9.640479
15.695504 S0 166.444740 1.915607 9.466985 0.417255 1448 2.859791 2.859791 0.414552 2.000957 2.048728 9.294742 9.640479
15.896171 S2 166.444740 2.016127 9.604605 0.413688 1448 1.877427 1.877427 0.432576 2.052274 2.060744 9.368154 9.640479
16.096845 S4 110.963160 1.493807 9.582911 0.410998 1448 2.065021 2.065021 0.477636 2.183408 3.064080 16.516746 6.426986
16.298707 S2 166.444740 2.003214 8.151968 0.416355 1448 3.639840 3.639840 0.432576 2.052274 1.760344 7.619499 9.640479
16.499375 S4 5076.564581 0.720571 6.485136 0.417980 1448 1.963068 1.963068 0.005122 1.010269 0.046094 1.094313 294.034621
16.700042 S2 166.444740 2.158237 5.978900 0.397183 1448 1.426682 1.426682 0.444592 2.086846 1.231640 4.980217 9.640479
16.900709 S2 166.444740 2.814923 7.904920 0.300410 1448 1.072740 1.072740 0.438584 2.069524 1.231640 4.980217 9.640479
17.102578 S1 166.444740 1.471097 9.272367 0.259855 1448 0.526247 0.526247 0.198264 1.435837 1.249664 5.060988 9.640479
17.304447 S0 166.444740 1.535240 9.482366 0.256544 1448 1.733091 1.733091 0.204272 1.450271 1.261680 5.115196 9.640479
17.506315 S4 166.444740 1.278571 9.680611 0.253683 1448 3.922411 3.922411 0.168224 1.364747 1.273696 5.169694 9.640479
17.708184 S2 166.444740 3.423705 9.768972 0.253760 1448 1.075347 1.075347 0.450600 2.104240 1.285712 5.224479 9.640479
