0-Time 1-Source 2-bdp_pkts 3-arr_Mbps  4-aggreg_ar_Mbps  5-AverageRttValue 6-pktsize 7-mupsi 8-aggreg_mupsi 9-occ_bdp_per_source 10-mupsi_mm1_per_source 11-aggreg_occ_bdp 12-aggreg_mupsi_mm1 13-measured_btlBW_Mbps
0.200179 S1 2.976757 0.115840 0.637120 0.200000 1448 0.998764 0.998764 0.671872 2.795156 3.695296 22.045805 0.172414
0.401462 S0 0.994314 0.521280 2.838080 0.200000 1448 1.000000 1.000000 9.051468 101.032006 49.280214 2528.099905 0.057591
0.602750 S0 1.056926 0.979962 3.343400 0.200955 1448 1.000000 1.000000 16.084387 291.876296 54.876146 3122.143638 0.061217
0.804037 S0 4.416930 1.994152 4.444111 0.203314 1448 1.005068 1.005066 7.924057 79.638788 17.659326 348.170460 0.255829
1.005324 S0 18.200995 3.041297 5.164466 0.201872 1448 1.014479 1.014478 2.911929 15.303186 4.944785 35.340463 1.054202
1.206455 S0 69.227028 6.847884 7.423337 0.201302 1448 1.014520 1.014519 1.718982 7.392862 1.863434 8.199254 4.009629
1.406645 S0 83.222370 13.356001 15.198208 0.201220 1448 1.013214 1.013214 2.787712 14.346762 3.172224 17.407453 4.820240
1.607006 S1 166.001829 1.741596 16.067624 0.206193 1448 1.007767 1.007767 0.186745 1.408364 1.722873 7.414035 9.614826
1.812480 S0 166.001829 8.595617 11.011379 0.206193 1448 0.989786 0.986604 0.921677 3.692841 1.180710 4.755496 9.614826
2.013786 S0 166.001829 8.595617 11.573184 0.206193 1448 0.976336 0.976336 0.921677 3.692841 1.240950 5.021858 9.614826
2.215093 S0 166.001829 8.595617 12.584433 0.206193 1448 0.986205 0.986205 0.921677 3.692841 1.349383 5.519599 9.614826
2.416399 S0 166.001829 8.595617 11.685545 0.206193 1448 1.000962 1.000962 0.921677 3.692841 1.252998 5.076001 9.614826
2.617706 S0 110.963160 1.179791 2.078679 0.206193 1448 1.013573 1.013573 0.189252 1.414320 0.333444 1.778073 6.426986
2.817946 S0 652.338775 1.291520 1.403827 0.206293 1448 1.024475 1.024475 0.035258 1.071759 0.038324 1.078116 37.783462
3.018481 S0 7.494015 0.952098 1.120115 0.206836 1448 1.052599 1.052599 2.268477 10.682941 2.668796 13.460066 0.434053
3.221618 S1 22.103455 0.278088 1.557293 0.208279 1448 0.961012 0.961012 0.226209 1.503588 1.266770 5.138247 1.280232
3.424513 S0 22.103455 1.545799 1.766627 0.209828 1448 1.029695 1.029695 1.266770 5.138247 1.447737 5.991419 1.280232
3.625800 S0 28.271085 1.539761 1.869709 0.210651 1448 1.036038 1.036038 0.990411 3.961737 1.202642 4.851633 1.637461
3.825826 S0 29.729667 1.867001 2.141560 0.210956 1448 1.033925 1.033925 1.143639 4.595187 1.311821 5.344516 1.721942
4.027114 S0 34.609723 1.972678 2.356254 0.211400 1448 1.032791 1.032791 1.040170 4.162294 1.242425 5.028472 2.004595
4.231558 S0 39.094654 2.352645 2.571496 0.211724 1448 1.032066 1.032066 1.099895 4.409557 1.202210 4.849731 2.264362
4.435250 S0 332.889481 2.679341 3.007423 0.211849 1448 1.036618 1.036618 0.147196 1.316059 0.165220 1.357738 19.280959
4.636862 S0 49.242963 3.004033 3.386365 0.212088 1448 1.021735 1.021735 1.116911 4.481312 1.259063 5.103366 2.852152
